#[s2-1]:LP1709-192-1ul-4-POS--05%-1.raw
#[s2-2]:LP1709-192-1ul-4-POS--05%-2.raw
#[s2-3]:LP1709-192-1ul-4-POS--05%-3.raw
#[s1-1]:LP1709-192-1ul-4-POS--CK1.raw
#[s1-2]:LP1709-192-1ul-4-POS--CK2.raw
#[s1-3]:LP1709-192-1ul-4-POS--CK3.raw
#[c-1]:QC1-1ul-4-POS--CK2.raw
#[c-2]:QC2-1ul-4-POS--CK2.raw
#normalize base:
#control group:c
#toprank filter:true
#mScoreThreshold:5.0
#cScoreThreshold:2.0

LipidIon	Class	FattyAcid	FA1	FA2	FA3	CalcMz	IonFormula	ARatio[s1/c]	ARatio[s2/c]	HRatio[s1/c]	HRatio[s2/c]	ADiff[s1/c]	ADiff[s2/c]	HDiff[s1/c]	HDiff[s2/c]	GroupArea[c]	GroupArea[s1]	GroupArea[s2]	GroupHeight[c]	GroupHeight[s1]	GroupHeight[s2]	GroupTopPos[c]	GroupTopPos[s1]	GroupTopPos[s2]	Area[s2-1]	Area[s2-2]	Area[s2-3]	Area[s1-1]	Area[s1-2]	Area[s1-3]	Area[c-1]	Area[c-2]	Height[s2-1]	Height[s2-2]	Height[s2-3]	Height[s1-1]	Height[s1-2]	Height[s1-3]	Height[c-1]	Height[c-2]	NormArea[s2-1]	NormArea[s2-2]	NormArea[s2-3]	NormArea[s1-1]	NormArea[s1-2]	NormArea[s1-3]	NormArea[c-1]	NormArea[c-2]	NormHeight[s2-1]	NormHeight[s2-2]	NormHeight[s2-3]	NormHeight[s1-1]	NormHeight[s1-2]	NormHeight[s1-3]	NormHeight[c-1]	NormHeight[c-2]	TopPos[s2-1]	TopPos[s2-2]	TopPos[s2-3]	TopPos[s1-1]	TopPos[s1-2]	TopPos[s1-3]	TopPos[c-1]	TopPos[c-2]	Hwhm(L)[s2-1]	Hwhm(L)[s2-2]	Hwhm(L)[s2-3]	Hwhm(L)[s1-1]	Hwhm(L)[s1-2]	Hwhm(L)[s1-3]	Hwhm(L)[c-1]	Hwhm(L)[c-2]	Hwhm(R)[s2-1]	Hwhm(R)[s2-2]	Hwhm(R)[s2-3]	Hwhm(R)[s1-1]	Hwhm(R)[s1-2]	Hwhm(R)[s1-3]	Hwhm(R)[c-1]	Hwhm(R)[c-2]	AreaScore[s2-1]	AreaScore[s2-2]	AreaScore[s2-3]	AreaScore[s1-1]	AreaScore[s1-2]	AreaScore[s1-3]	AreaScore[c-1]	AreaScore[c-2]	DataId[s2-1]	DataId[s2-2]	DataId[s2-3]	DataId[s1-1]	DataId[s1-2]	DataId[s1-3]	DataId[c-1]	DataId[c-2]	Scan[s2-1]	Scan[s2-2]	Scan[s2-3]	Scan[s1-1]	Scan[s1-2]	Scan[s1-3]	Scan[c-1]	Scan[c-2]	ObsMz[s2-1]	ObsMz[s2-2]	ObsMz[s2-3]	ObsMz[s1-1]	ObsMz[s1-2]	ObsMz[s1-3]	ObsMz[c-1]	ObsMz[c-2]	Rt[s2-1]	Rt[s2-2]	Rt[s2-3]	Rt[s1-1]	Rt[s1-2]	Rt[s1-3]	Rt[c-1]	Rt[c-2]	It.[s2-1]	It.[s2-2]	It.[s2-3]	It.[s1-1]	It.[s1-2]	It.[s1-3]	It.[c-1]	It.[c-2]	z[s2-1]	z[s2-2]	z[s2-3]	z[s1-1]	z[s1-2]	z[s1-3]	z[c-1]	z[c-2]	Delta(Da)[s2-1]	Delta(Da)[s2-2]	Delta(Da)[s2-3]	Delta(Da)[s1-1]	Delta(Da)[s1-2]	Delta(Da)[s1-3]	Delta(Da)[c-1]	Delta(Da)[c-2]	Delta(ppm)[s2-1]	Delta(ppm)[s2-2]	Delta(ppm)[s2-3]	Delta(ppm)[s1-1]	Delta(ppm)[s1-2]	Delta(ppm)[s1-3]	Delta(ppm)[c-1]	Delta(ppm)[c-2]	mScore[s2-1]	mScore[s2-2]	mScore[s2-3]	mScore[s1-1]	mScore[s1-2]	mScore[s1-3]	mScore[c-1]	mScore[c-2]	tScore[s2-1]	tScore[s2-2]	tScore[s2-3]	tScore[s1-1]	tScore[s1-2]	tScore[s1-3]	tScore[c-1]	tScore[c-2]	
PC(22:3/14:1)+H	PC	(22:3/14:1)	(22:3)	(14:1)		782.56943347	C44 H81 O8 N1 P1	1.0553359401484226	1.1148876784616872	1.0765149228867454	0.990311876440089	7.079822457500005E7	1.469902497149999E8	2659347.6570000052	-336719.7889999971	1.279425711122E9	1.350223935697E9	1.426415960837E9	3.4755934616E7	3.7415282273E7	3.4419214827E7	14.727251279975883	14.727251279975883	14.727251279975883	1.0936075105E9	1.426415960837E9	1.17241816212E9	1.350223935697E9	1.135182406608E9	1.227240711857E9	1.080666355949E9	1.279425711122E9	2.7330548542E7	3.4419214827E7	3.4077805108E7	3.5766646347E7	3.2996078035E7	3.7415282273E7	3.1556167288E7	3.4755934616E7	1.0936075105E9	1.426415960837E9	1.17241816212E9	1.350223935697E9	1.135182406608E9	1.227240711857E9	1.080666355949E9	1.279425711122E9	2.7330548542E7	3.4419214827E7	3.4077805108E7	3.5766646347E7	3.2996078035E7	3.7415282273E7	3.1556167288E7	3.4755934616E7	14.724	14.732	14.745	14.748	14.735	14.735	14.725	14.73	0.322	0.333	0.287	0.306	0.281	0.257	0.281	0.272	0.305	0.316	0.252	0.285	0.258	0.257	0.255	0.305	0.87	0.87	0.85	0.88	0.88	0.85	0.83	0.81	8593	8729	8685	8659	8603	8616	8507	8654	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	782.567188	782.565622	782.565959	782.566851	782.565712	782.565965	782.56688	782.566827	14.727251279975883	14.727251279975883	14.727251279975883	14.727251279975883	14.727251279975883	14.727251279975883	14.727251279975883	14.727251279975883	1900102.875	1810062.25	1716380.625	2110595.5	1689309.5	1916254.875	1872008.0	1817432.25	1	1	1	1	1	1	1	1	-0.0022454700000480443	-0.0038114700000733137	-0.0034744700000146622	-0.002582469999993009	-0.003721470000073168	-0.0034684700000298108	-0.002553470000066227	-0.0026064700000461016	-2.8693618395319107	-4.870476317027558	-4.439839894223261	-3.299996909587606	-4.755469520948641	-4.432172780284503	-3.262939277785619	-3.3306652967494963	39.9656733869833	38.491183389318955	36.57818836105034	39.120007838537504	46.982952278569336	48.837439301053756	35.43374415649593	39.528364148103485	4.6509472938854	5.549175123297875	4.810508760694233	4.756186259437465	4.833281956287982	4.7402572125694284	4.452436645670096	4.72172495291886	
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	5.143152399531589	3.4522565405082277	1.2269861909861475	1.0531685653873273	1.5823262959E7	9365501.517099934	278371.49900000007	65204.90599999996	3819136.115	1.9642399074E7	1.3184637632099934E7	1226380.767	1504752.266	1291585.673	19.795525776576135	19.795525776576135	19.795525776576135	1.3184637632099934E7	2020191.939	9720791.856	1.9642399074E7	1000720.651	9508982.789100017	3819136.115	386463.336	388620.75	1291585.673	1274589.792	1504752.266	1229299.781	611179.0699999998	1226380.767	1171600.585	1.3184637632099934E7	2020191.939	9720791.856	1.9642399074E7	1000720.651	9508982.789100017	3819136.115	386463.336	388620.75	1291585.673	1274589.792	1504752.266	1229299.781	611179.0699999998	1226380.767	1171600.585	19.488	19.891	19.867	19.66	19.787	19.481	19.564	19.868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		9675	9916	9660	9663					MS2	MS2	MS2	MS2					782.565867	782.565504	782.565438	782.565259					19.795525776576135	19.795525776576135	19.795525776576135	19.795525776576135					1087519.0	818664.625	1318298.25	1060177.625				1	1	1	1	1	1	1	1		-0.0035664700000097582	-0.003929470000002766	-0.003995470000063506	-0.0041744700000663215					-4.557402322963649	-5.021263045207457	-5.105601404655911	-5.334337329715613					26.67259310267334	33.02478966026262	28.441734758047296	32.87749209511144					7.519993123297873	7.371014760694234	6.831778259437465	7.031610956287979				
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	2.4369975622879165	1.9784653865361626	1.2130109625554157	3.783982122023177	8960729.769000001	6101446.618400022	74368.20699999988	971967.622	6235730.668	1.5196460437E7	1.2337177286400022E7	349128.543	423496.7499999999	1321096.165	20.033007808608623	20.033007808608623	20.033007808608623	4886598.149	3794829.812399985	1.2337177286400022E7	1.0527802860900031E7	1.5196460437E7	9098308.739699937	6235730.668	2664919.998	1321096.165	274648.06000000006	451938.56000000006	423496.7499999999	333927.84	404634.25	207336.418	349128.543	4886598.149	3794829.812399985	1.2337177286400022E7	1.0527802860900031E7	1.5196460437E7	9098308.739699937	6235730.668	2664919.998	1321096.165	274648.06000000006	451938.56000000006	423496.7499999999	333927.84	404634.25	207336.418	349128.543	20.054	19.897	19.709	19.763	20.002	19.71	20.167	19.874	0.0	0.0	0.0	0.0	0.433	0.0	0.14	0.058	0.0	0.0	0.0	0.0	0.28	0.0	0.331	0.061	1.0	1.0	1.0	1.0	0.74	1.0	0.65	0.72	9741						9728	9654	MS2						MS2	MS2	782.565141						782.565879	782.565255	20.033007808608623						20.033007808608623	20.033007808608623	1193719.375						1019850.5	1196591.0	1	1	1	1	1	1	1	1	-0.004292469999995774						-0.0035544700000400553	-0.0041784700000562225	-5.485124197783041						-4.542068091598261	-5.339448748217682	33.477295423030604						32.80896140577154	34.917005229951336	7.034327293885399						6.990123645670094	6.7949129529188586	
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	1.885523431238836	1.893405687223804	7.175545731655251	5.4573263174857205	1361993.1521999843	1374116.5791999844	1178824.852	850840.924	1538065.6278000155	2900058.78	2912182.207	190885.93999999994	1369710.792	1041726.864	20.343	20.343	20.343	2567460.7655999833	1733138.8721999887	2912182.207	202798.31310000736	1117532.0175000024	2900058.78	1538065.6278000155	1104099.9014999717	211176.12	201517.81000000006	1041726.864	103579.87999999989	170714.6299999999	1369710.792	190885.93999999994	137889.56000000006	2567460.7655999833	1733138.8721999887	2912182.207	202798.31310000736	1117532.0175000024	2900058.78	1538065.6278000155	1104099.9014999717	211176.12	201517.81000000006	1041726.864	103579.87999999989	170714.6299999999	1369710.792	190885.93999999994	137889.56000000006	20.348	20.191	20.39	20.098	20.158	20.343	20.083	20.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						9754								MS2								782.56575								20.343								1212915.375			1	1	1	1	1	1	1	1						-0.003683470000055422								-4.706911103857375								28.583378261995744								7.104879212569429			
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	0.2642449136891285	0.13032700536173916	5.548725525853161	4.597492365113968	-9500459.774	-1.122967881E7	1135160.783	897775.0420000001	1.2912530203E7	3412070.429	1682851.393	249555.788	1384716.571	1147330.83	20.84634675982187	20.84634675982187	20.84634675982187	647099.131	1682851.393	664035.9963000077	3412070.429	1540604.184	2470159.687	1.2912530203E7	1634319.305	1147330.83	178735.265	122916.0	1384716.571	1025450.126	1311095.964	249555.788	217260.436	647099.131	1682851.393	664035.9963000077	3412070.429	1540604.184	2470159.687	1.2912530203E7	1634319.305	1147330.83	178735.265	122916.0	1384716.571	1025450.126	1311095.964	249555.788	217260.436	20.819	20.913	21.265	20.764	20.728	21.037	20.981	20.848	0.0	0.064	0.0	0.0	0.0	0.0	0.363	0.06	0.0	0.084	0.0	0.0	0.0	0.0	0.447	0.058	1.0	0.82	1.0	1.0	1.0	1.0	0.73	0.83	9949	10030		9939	9948	9966	10154	10147	MS2	MS2		MS2	MS2	MS2	MS2	MS2	782.565471	782.564854		782.565363	782.565373	782.565187	782.565149	782.564408	20.84634675982187	20.84634675982187		20.84634675982187	20.84634675982187	20.84634675982187	20.84634675982187	20.84634675982187	966536.3125	960390.8125		1204958.75	1045648.625	1186615.125	970547.5	1133955.375	1	1	1	1	1	1	1	1	-0.003962470000033136	-0.004579470000066976		-0.004070469999987836	-0.004060470000013083	-0.004246469999998226	-0.004284470000015972	-0.005025470000077803	-5.063432223153453	-5.8518687195495085		-5.201440466566748	-5.188661923936619	-5.426342870892839	-5.474901357852739	-6.42179279578455	27.86866442007204	25.43980754852386		34.09253550838666	25.747877114098678	31.34645647819646	25.09977054365524	31.37508143332855	7.4722152938854	8.258778123297873		7.415860259437464	7.62181895628798	7.545565212569429	7.8755226456700935	7.823653952918859	
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	0.5158602482551476	0.3250027245384603	0.7879755300589093	2.104433048523457	-2.066807759969993E7	-2.8815845049999997E7	-140150.08900000004	730040.2170000001	4.2690313128E7	2.202223552830007E7	1.3874468078E7	661009.029	520858.93999999994	1391049.246	21.23472554521104	21.23472554521104	21.23472554521104	3443687.813	7078718.025	1.3874468078E7	2.202223552830007E7	1.7665686835800014E7	5857094.272	2.9416990892999943E7	4.2690313128E7	1391049.246	322570.645	1362554.379	484003.4999999999	520858.93999999994	293130.18	565746.62	661009.029	3443687.813	7078718.025	1.3874468078E7	2.202223552830007E7	1.7665686835800014E7	5857094.272	2.9416990892999943E7	4.2690313128E7	1391049.246	322570.645	1362554.379	484003.4999999999	520858.93999999994	293130.18	565746.62	661009.029	21.128	21.136	21.315	21.525	21.606	21.175	21.762	21.395	0.0	0.108	0.0	0.0	0.0	0.23	0.0	0.368	0.0	0.236	0.0	0.0	0.0	0.082	0.0	0.643	1.0	0.82	1.0	1.0	1.0	0.76	1.0	0.88	10165	10099	10127			10392		10240	MS2	MS2	MS2			MS2		MS2	782.565238	782.56447	782.564587			782.565663		782.564825	21.23472554521104	21.23472554521104	21.23472554521104			21.23472554521104		21.23472554521104	1185087.875	1117272.375	1206445.75			1303175.875		1148946.875	1	1	1	1	1	1	1	1	-0.004195470000013302	-0.004963470000006964	-0.004846470000074987			-0.003770470000063142		-0.004608469999993758	-5.361172277434425	-6.342565643082969	-6.193056373247025			-4.81808432885375		-5.888926543230309	33.29654576578401	26.083216845039964	32.15766488047471			28.99860882377568		26.563019619256337	7.9204712938854005	8.402770123297874	7.810245760694233			8.425659212569428		8.01773595291886	
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	0.8038094478536831	0.8882725390109388	1.2276524830318187	1.0609855718843626	-6886613.762699977	-3921819.18090003	289748.18200000003	77620.32000000007	3.510165850169998E7	2.8215044739E7	3.1179839320799947E7	1272765.305	1562513.487	1350385.625	21.630557745063914	21.630557745063914	21.630557745063914	1.2828070565E7	8805696.775	3.1179839320799947E7	1.8386293838E7	2.8215044739E7	2.5354807287E7	4959471.02	3.510165850169998E7	416824.096	1350385.625	614683.12	1562513.487	1397096.781	1509989.82	1272765.305	719091.3799999999	1.2828070565E7	8805696.775	3.1179839320799947E7	1.8386293838E7	2.8215044739E7	2.5354807287E7	4959471.02	3.510165850169998E7	416824.096	1350385.625	614683.12	1562513.487	1397096.781	1509989.82	1272765.305	719091.3799999999	21.524	21.578	21.307	21.528	21.61	21.744	21.77	21.216	0.293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10354	10366		10441	10496	10466	10274		MS2	MS2		MS2	MS2	MS2	MS2		782.565251	782.564328		782.565462	782.565105	782.565669	782.565703		21.630557745063914	21.630557745063914		21.630557745063914	21.630557745063914	21.630557745063914	21.630557745063914		1221240.625	1088947.25		1455145.0	1064437.625	1079893.875	1226170.375		1	1	1	1	1	1	1	1	-0.0041824700000461235	-0.005105469999989509		-0.003971470000010413	-0.004328470000018569	-0.0037644700000782905	-0.0037304700000504454		-5.344560166772005	-6.524021398235842		-5.074932908625432	-5.531126980201202	-4.810417209114931	-4.766970199337093		29.079269416218963	27.02832818283921		37.922467039765294	28.72113872999055	36.161835132300595	29.571535358974412		8.313264293885398	8.950567123297873		8.450528259437464	8.757361956287982	8.576713212569427	8.125643645670094		
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	1.2607895277739278	1.0834961782665953	1.2555636877287495	1.0499427732626572	4722749.693	1512068.194000002	372874.5220000001	72867.89400000009	1.8109429981E7	2.2832179674E7	1.9621498175E7	1459027.788	1831902.31	1531895.682	31.785018154793583	31.785018154793583	31.785018154793583	1.9621498175E7	1.7783347271E7	1.926380241E7	2.2832179674E7	1.8104853965E7	2.1971718552E7	1.8074798113E7	1.8109429981E7	1423844.335	1329818.805	1531895.682	1831902.31	1197085.524	1573154.818	1459027.788	1214393.628	1.9621498175E7	1.7783347271E7	1.926380241E7	2.2832179674E7	1.8104853965E7	2.1971718552E7	1.8074798113E7	1.8109429981E7	1423844.335	1329818.805	1531895.682	1831902.31	1197085.524	1573154.818	1459027.788	1214393.628	31.803	31.813	31.773	31.753	31.794	31.765	31.809	31.884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15258	15280	15218	15239	15252	15259	15248		MS2	MS2	MS2	MS2	MS2	MS2	MS2		782.567474	782.566413	782.566457	782.567526	782.566824	782.56737	782.566636		31.785018154793583	31.785018154793583	31.785018154793583	31.785018154793583	31.785018154793583	31.785018154793583	31.785018154793583		1189025.625	1317185.125	1524709.25	1299894.25	1202897.25	1434261.75	1165309.75		1	1	1	1	1	1	1	1	-0.001959470000088004	-0.0030204700000240337	-0.002976470000021436	-0.0019074699999919176	-0.0026094700000385274	-0.002063470000052803	-0.0027974700000186203		-2.5038973529139916	-3.859695270189659	-3.8034698357945684	-2.4374492930056197	-3.3344988452588376	-2.636793498932194	-3.574734611059299		27.253238738234195	24.41024073733978	24.936991877935725	28.121332115943275	31.694090789274956	44.66863035531424	34.43289518589928		18.474019293885398	19.113882123297874	18.36322276069423	18.420214259437465	18.62430395628798	18.494586212569427	18.425078645670098		
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	2.930934808687846	1.822815137896746	4.267738992883868	1.1243431700472257	229684.234	97873.66399999999	176604.333	6720.103000000003	118949.761	348633.995	216823.425	54044.81	230649.143	60764.913	32.381	32.381	32.381	23359.298	32066.239	216823.425	310204.632	89544.366	348633.995	118949.761	25592.278	28373.885	38133.6	60764.913	46987.692	32915.567	230649.143	54044.81	33862.261	23359.298	32066.239	216823.425	310204.632	89544.366	348633.995	118949.761	25592.278	28373.885	38133.6	60764.913	46987.692	32915.567	230649.143	54044.81	33862.261	32.376	32.405	32.419	32.464	32.447	32.381	32.452	32.394	0.0	0.0	0.03	0.072	0.025	0.0	0.018	0.0	0.0	0.0	0.026	0.032	0.018	0.0	0.016	0.0	1.0	1.0	0.89	0.88	0.91	1.0	0.96	1.0						15552								MS2								782.570624								32.381								230213.53125			1	1	1	1	1	1	1	1						0.0011905299999170893								1.5213057185178263								8.171687197294137								19.129142212569427			
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	0.410315958069753	0.9734756455530437	1.4471792783778934	0.515574729252785	-8.5572686739E7	-3849112.597000003	7746292.767000001	-8391488.944999998	1.45116165021E8	5.9543478282E7	1.41267052424E8	1.7322566455E7	2.5068859222E7	8931077.51	32.94015077546833	32.94015077546833	32.94015077546833	1.41267052424E8	2.7089494957E7	2.5244060893E7	5.6876391492E7	4.9386093509E7	5.9543478282E7	1.45116165021E8	1.20084697105E8	4380815.016	7979294.762	8931077.51	6819763.098	2.5068859222E7	1.4991046604E7	1.0636108989E7	1.7322566455E7	1.41267052424E8	2.7089494957E7	2.5244060893E7	5.6876391492E7	4.9386093509E7	5.9543478282E7	1.45116165021E8	1.20084697105E8	4380815.016	7979294.762	8931077.51	6819763.098	2.5068859222E7	1.4991046604E7	1.0636108989E7	1.7322566455E7	32.937	32.976	32.941	32.964	32.934	32.951	32.963	32.914	0.218	0.028	0.018	0.0	0.017	0.0	0.109	0.042	0.287	0.025	0.027	0.0	0.014	0.0	0.105	0.066	0.71	0.94	0.89	1.0	0.94	1.0	0.96	0.83	15780	15800	15761		15811	15859	15795	15821	MS2	MS2	MS2		MS2	MS2	MS2	MS2	782.566986	782.56731	782.568115		782.568531	782.569975	782.56712	782.56781	32.94015077546833	32.94015077546833	32.94015077546833		32.94015077546833	32.94015077546833	32.94015077546833	32.94015077546833	2.0594602E7	8391135.0	2779824.0		3765825.75	676144.3125	7085450.5	4454446.5	1	1	1	1	1	1	1	1	-0.0024474699999927907	-0.002123470000015004	-0.0013184700000010707		-9.024700000281882E-4	5.41529999964041E-4	-0.0023134699999900477	-0.0016234700000268276	-3.1274872672333762	-2.7134643684495257	-1.6847978477105565		-1.153214487557059	0.6919887520441235	-2.956255532937801	-2.074540814653435	37.978084409047774	37.733382013737945	37.464708497417305		46.610515238767405	38.46315111417112	38.330487860184945	28.84110194441795	19.626595293885394	20.275608123297875	19.560500760694232		19.86698795628798	19.823779212569427	19.637268645670098	19.67133295291886	
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	0.9207972902384407	0.27436990313895115	0.295491892057946	0.3928875605600694	-1.7882432311900318E7	-1.6383317098190033E8	-2.163930496E7	-1.8647750216000002E7	2.2578056187390032E8	2.07898129562E8	6.1947390892E7	3.071548037E7	9076175.41	1.2067730154E7	33.35645338378605	33.35645338378605	33.35645338378605	6.1947390892E7	4.8977892449E7	5.2896777361E7	2.07898129562E8	5.0566715364E7	2.8430051248E7	2.2578056187390032E8	1.932140035E7	2680270.813	7980992.367	1.2067730154E7	4186384.802	2977564.703	9076175.41	3.071548037E7	1880586.084	6.1947390892E7	4.8977892449E7	5.2896777361E7	2.07898129562E8	5.0566715364E7	2.8430051248E7	2.2578056187390032E8	1.932140035E7	2680270.813	7980992.367	1.2067730154E7	4186384.802	2977564.703	9076175.41	3.071548037E7	1880586.084	33.578	33.358	33.343	33.197	33.302	33.431	32.973	33.46	0.167	0.0	0.0	0.297	0.135	0.0	0.0	0.078	0.195	0.0	0.0	0.481	0.131	0.0	0.0	0.083	0.71	1.0	1.0	0.77	0.7	1.0	1.0	0.86	16202	15982	15943	15753	15933	15980		16005	MS2	MS2	MS2	MS2	MS2	MS2		MS2	782.56936	782.569081	782.566643	782.569458	782.568029	782.568963		782.568592	33.35645338378605	33.35645338378605	33.35645338378605	33.35645338378605	33.35645338378605	33.35645338378605		33.35645338378605	1198567.5	1903314.125	5627380.5	574269.75	2754718.25	2065831.25		1714716.75	1	1	1	1	1	1	1	1	-7.347000007484894E-5	-3.524700000525627E-4	-0.0027904700000362936	2.453000001878536E-5	-0.0014044700000113153	-4.70469999982015E-4		-8.414700000685116E-4	-0.09388298639396568	-0.4504008164286302	-3.5657896602854455	0.0313454385091425	-1.7946925551805388	-0.6011862116404204		-1.0752660135545604	47.113999601227576	37.871530048425186	37.52643037484311	38.0200544439723	37.28219051567642	38.03053617015341		37.36764333173966	20.575999293885396	20.684557123297875	19.96643676069423	19.54432925943747	20.138729956287982	20.097836212569426		20.08385595291886	
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	1.7921062838941597	1.3814636199900738	2.305244866497073	2.9861907769920455	2.4365381063099895E7	1.1733913304000001E7	2816899.1200000006	4286474.665000001	3.0760242102E7	5.51256231650999E7	4.2494155406E7	2158138.44	4975037.5600000005	6444613.105	33.63809557229446	33.63809557229446	33.63809557229446	4.2494155406E7	1.5056011552E7	2.914125391290026E7	5.51256231650999E7	1.9225752694E7	1507591.115	2.5254986289599847E7	3.0760242102E7	6444613.105	2670617.864	5745093.19	4975037.5600000005	3015140.305	2730552.349	2158138.44	1576503.158	4.2494155406E7	1.5056011552E7	2.914125391290026E7	5.51256231650999E7	1.9225752694E7	1507591.115	2.5254986289599847E7	3.0760242102E7	6444613.105	2670617.864	5745093.19	4975037.5600000005	3015140.305	2730552.349	2158138.44	1576503.158	33.537	33.616	33.407	33.374	33.644	33.619	33.475	33.683	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.103	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.203	1.0	1.0	1.0	1.0	0.85	1.0	1.0	0.86		16227			16176	16224		16189		MS2			MS2	MS2		MS2		782.569139			782.569503	782.568241		782.569811		33.63809557229446			33.63809557229446	33.63809557229446		33.63809557229446		724142.6875			564119.375	1580690.25		430108.71875	1	1	1	1	1	1	1	1		-2.9447000008531177E-4			6.953000001885812E-5	-0.0011924700000918165		3.775299999233539E-4		-0.3762859778210145			0.08884827611652178	-1.523789366565459		0.4824230758625879		29.04014347410218			28.76919720495015	28.685876237489136		38.24976485251972		21.230337123297875			20.68840295628798	20.64149321256943		20.496552952918854	
PC(16:0/20:4)+H	PC	(16:0/20:4)	(16:0)	(20:4)		782.56943347	C44 H81 O8 N1 P1	0.9259362973028011	1.2064017497967385	2.1448222658475946	2.566108288580214	-3402680.6759999543	9482637.512700297	2652197.7569999993	3628186.675	4.59426217172997E7	4.2539941041299745E7	5.542525923E7	2316689.5300000003	4968887.287	5944876.205	33.755173711249704	33.755173711249704	33.755173711249704	5.542525923E7	1.0019439800099745E7	2275752.342	4.2539941041299745E7	2.7183264874E7	2.6424921661E7	3.116342792039994E7	4.59426217172997E7	5944876.205	1762689.62	478592.351	3445286.75	4968887.287	1681966.429	2316689.5300000003	2119904.56	5.542525923E7	1.0019439800099745E7	2275752.342	4.2539941041299745E7	2.7183264874E7	2.6424921661E7	3.116342792039994E7	4.59426217172997E7	5944876.205	1762689.62	478592.351	3445286.75	4968887.287	1681966.429	2316689.5300000003	2119904.56	33.532	33.404	34.099	33.439	33.649	33.971	33.475	33.439	0.0	0.0	0.0	0.0	0.0	0.126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.79	1.0	1.0			16125		16236	16284					MS2		MS2	MS2					782.569387		782.570144	782.568542					33.755173711249704		33.755173711249704	33.755173711249704					539555.0		288716.15625	1159458.5			1	1	1	1	1	1	1	1			-4.647000002933055E-5		7.105299999921044E-4	-8.914700000559606E-4					-0.05938127433666165		0.9079435337592408	-1.1391582044879984					36.73358757535957		37.28805793999741	38.42959271691428					20.37771776069423		20.826749956287976	20.778942212569426			
