LipidIon	ave area	AreaScore	TopPos-RT	max m-score	ave t-score
LPC	5000000.0	0.8	0.1	15	2.1
PC	5000000.0	0.8	0.1	20	2.1
LPE	5000000.0	0.8	0.1	15	2.1
PE	5000000.0	0.8	0.1	25	2.1
LPS	10000000	0.8	0.1	15	2.1
PS	10000000	0.8	0.1	25	3.1
LPG	5000000.0	0.8	0.1	15	2.1
PG	4000000.0	0.8	0.1	20	2.1
LPI	3000000.0	0.8	0.1	15	2.1
PI	5000000.0	0.8	0.1	25	2.1
CL	5000000.0	0.8	0.1	70	2.1
Cer	5000000.0	0.8	0.1	25	2.1
